time	wmstart	wmdisp15
14.3800	4.9907	-4.3437
14.4000	4.9905	-4.3448
14.4200	4.9903	-4.3445
14.4400	4.9908	-4.3443
14.4600	4.9905	-4.3443
14.4800	4.9907	-4.3437
14.5000	4.9905	-4.3438
14.5200	4.9903	-4.3437
14.5400	4.9903	-4.3443
14.5600	4.9907	-4.3440
14.5800	4.9902	-4.3441
14.6000	4.9903	-4.3438
14.6200	4.9907	-4.3441
14.6400	4.9905	-4.3445
14.6600	4.9905	-4.3446
14.6800	4.9903	-4.3438
14.7000	4.9908	-4.3433
14.7200	4.9903	-4.3437
14.7400	4.9907	-4.3440
14.7600	4.9902	-4.3441
14.7800	4.9907	-4.3433
14.8000	4.9905	-4.3441
14.8200	4.9902	-4.3445
14.8400	4.9903	-4.3440
14.8600	4.9900	-4.3435
14.8800	4.9902	-4.3433
14.9000	4.9905	-4.3441
14.9200	4.9905	-4.3441
14.9400	4.9903	-4.3440
14.9600	4.9905	-4.3441
14.9800	4.9903	-4.3446
15.0000	4.9903	-4.3448
15.0200	4.9902	-4.3445
15.0400	4.9905	-4.3448
15.0600	4.9905	-4.3448
15.0800	4.9902	-4.3443
15.1000	4.9902	-4.3441
15.1200	4.9903	-4.3435
15.1400	4.9900	-4.3438
15.1600	4.9903	-4.3443
15.1800	4.9903	-4.3445
15.2000	4.9903	-4.3449
15.2200	4.9900	-4.3454
15.2400	4.9902	-4.3443
15.2600	4.9905	-4.3453
15.2800	4.9900	-4.3441
15.3000	4.9903	-4.3441
15.3200	4.9902	-4.3448
15.3400	4.9902	-4.3443
15.3600	4.9903	-4.3438
15.3800	4.9900	-4.3432
15.4000	4.9902	-4.3437
15.4200	4.9902	-4.3445
15.4400	4.9902	-4.3440
15.4600	4.9905	-4.3438
15.4800	4.9902	-4.3443
15.5000	4.9900	-4.3438
15.5200	4.9902	-4.3441
15.5400	4.9900	-4.3441
15.5600	4.9899	-4.3440
15.5800	4.9905	-4.3440
15.6000	4.9899	-4.3441
15.6200	4.9902	-4.3443
15.6400	4.9903	-4.3438
15.6600	4.9902	-4.3437
15.6800	4.9903	-4.3437
15.7000	4.9900	-4.3445
15.7200	4.9900	-4.3438
15.7400	4.9905	-4.3438
15.7600	4.9900	-4.3437
15.7800	4.9902	-4.3438
15.8000	4.9899	-4.3440
15.8200	4.9899	-4.3437
15.8400	4.9903	-4.3445
15.8600	4.9899	-4.3448
15.8800	4.9899	-4.3438
15.9000	4.9900	-4.3438
15.9200	4.9899	-4.3437
15.9400	4.9899	-4.3432
15.9600	4.9902	-4.3441
15.9800	4.9897	-4.3441
16.0000	4.9900	-4.3441
16.0200	4.9902	-4.3438
16.0400	4.9900	-4.3446
16.0600	4.9900	-4.3453
16.0800	4.9899	-4.3449
16.1000	4.9902	-4.3438
16.1200	4.9897	-4.3441
16.1400	4.9902	-4.3445
16.1600	4.9903	-4.3445
16.1800	4.9902	-4.3443
16.2000	4.9900	-4.3449
16.2200	4.9899	-4.3453
16.2400	4.9899	-4.3446
16.2600	4.9899	-4.3448
16.2800	4.9899	-4.3448
16.3000	4.9902	-4.3445
16.3200	4.9902	-4.3440
16.3400	4.9899	-4.3435
16.3600	4.9899	-4.3438
16.3800	4.9899	-4.3440
16.4000	4.9903	-4.3430
16.4200	4.9900	-4.3435
16.4400	4.9900	-4.3441
16.4600	4.9897	-4.3443
16.4800	4.9902	-4.3445
16.5000	4.9900	-4.3437
16.5200	4.9899	-4.3432
16.5400	4.9900	-4.3435
16.5600	4.9897	-4.3438
16.5800	4.9900	-4.3445
16.6000	4.9897	-4.3441
16.6200	4.9899	-4.3438
16.6400	4.9899	-4.3440
16.6600	4.9899	-4.3437
16.6800	4.9895	-4.3438
16.7000	4.9897	-4.3443
16.7200	4.9897	-4.3440
16.7400	4.9895	-4.3443
16.7600	4.9897	-4.3446
16.7800	4.9899	-4.3433
16.8000	4.9900	-4.3432
16.8200	4.9899	-4.3440
16.8400	4.9900	-4.3432
